레벨,환포,누적경험치,환포,환포/경치
476,"61,536,087,844 ","22,647,988,632,835,300","61,536,087,844",0.0000027171 
477,"64,752,735,730 ","23,838,293,750,115,300","64,752,735,730",0.0000027163 
478,"68,137,751,096 ","25,091,180,264,305,300","68,137,751,096",0.0000027156 
479,"71,699,946,495 ","26,409,938,450,455,300","71,699,946,495",0.0000027149 
480,"75,448,595,732 ","27,798,031,572,895,300","75,448,595,732",0.0000027142 
481,"79,393,458,001 ","29,259,104,980,285,300","79,393,458,001",0.0000027135 
482,"83,544,803,296 ","30,796,995,678,885,300","83,544,803,296",0.0000027128 
483,"87,913,439,139 ","32,415,742,409,115,300","87,913,439,139",0.0000027121 
484,"92,510,738,717 ","34,119,596,251,925,300","92,510,738,717",0.0000027114 
485,"97,348,670,492 ","35,913,031,792,785,300","97,348,670,492",0.0000027107 
486,"102,439,829,347 ","37,800,758,872,665,300","102,439,829,347",0.0000027100 
487,"107,797,469,384 ","39,787,734,956,795,300","107,797,469,384",0.0000027093 
488,"113,435,538,418 ","41,879,178,153,735,300","113,435,538,418",0.0000027086 
489,"119,368,714,287 ","44,080,580,918,955,300","119,368,714,287",0.0000027080 
490,"125,612,443,063 ","46,397,724,478,865,300","125,612,443,063",0.0000027073 
491,"132,182,979,259 ","48,836,694,013,235,300","132,182,979,259",0.0000027066 
492,"139,097,428,138 ","51,403,894,635,805,300","139,097,428,138",0.0000027060 
493,"146,373,790,246 ","54,106,068,215,115,300","146,373,790,246",0.0000027053 
494,"154,031,008,266 ","56,950,311,079,705,300","154,031,008,266",0.0000027047 
495,"162,089,016,327 ","59,944,092,654,185,300","162,089,016,327",0.0000027040 
496,"170,568,791,897 ","63,095,275,075,095,300","170,568,791,897",0.0000027034 
497,"179,492,410,390 ","66,412,133,838,095,300","179,492,410,390",0.0000027027 
498,"188,883,102,626 ","69,903,379,530,735,300","188,883,102,626",0.0000027021 
499,"198,765,315,309 ","73,578,180,707,785,300","198,765,315,309",0.0000027014 
500,"209,164,774,658 ","77,446,187,969,285,300","209,164,774,658",0.0000027008 
501,"220,108,553,380 ","77,446,187,969,285,300","220,108,553,380",0.0000028421
502,"231,625,141,136 ","85,802,986,768,777,700","231,625,141,136",0.0000026995
503,"243,744,518,708 ","90,313,724,561,392,800","243,744,518,708",0.0000026989
504,"256,498,236,035 ","95,061,618,582,311,900","256,498,236,035",0.0000026982
505,"269,919,494,346 ","100,059,137,540,471,000","269,919,494,346",0.0000026976
