부스트,,,,,경험치 RP (1~200),,,,, 강화 확률 증가,,,,,SP 증가량,,,,,장비 제한 레벨 감소,,,,,샤프 ,,,,,버서크 ,,,,,쉐도우 파트너,,,,,환포증가,,,,,비홀더버프,,,,,타겟,,,,,강횟,,,,,매용,,,,,원거리마스터리,,,,,,어드밴스드 콤보,,,,,파이널어택,,,,,너클마스터리,,,,,크리티컬 리인포스,,,,,오브 마스터리,,,,,,아드레날린,,,,,
레벨,소모 RP,누적 RP,효과,,레벨,필요 RP,누적 RP,효과,,레벨,소모 포인트,누적 포인트,효과,,레벨,SP 증가,누적 환포,효과,,레벨,감소량,누적 감소량,효과,,레벨,샤프 소모값,누적 RP,효과,,레벨,버서크 소모값,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,비용,누적 비용,효과,,레벨,소모 RP,누적 RP,숙련도,데미지,,레벨,소모 RP,누적 RP,지속시간,데미지,쿨타임
,,,,,127 ,64 ,"4,096 ",경험치+127%,,,,,,,127 ,"100,000,000 ","7,865,236,579 ",sp+127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,128 ,64 ,"4,160 ",경험치+128%,,,,,,,128 ,"100,000,000 ","7,965,236,579 ",sp+128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,129 ,65 ,"4,225 ",경험치+129%,,,,,,,129 ,"100,000,000 ","8,065,236,579 ",sp+129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,130 ,65 ,"4,290 ",경험치+130%,,,,,,,130 ,"100,000,000 ","8,165,236,579 ",sp+130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,131 ,66 ,"4,356 ",경험치+131%,,,,,,,131 ,"100,000,000 ","8,265,236,579 ",sp+131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,132 ,66 ,"4,422 ",경험치+132%,,,,,,,132 ,"100,000,000 ","8,365,236,579 ",sp+132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,133 ,67 ,"4,489 ",경험치+133%,,,,,,,133 ,"100,000,000 ","8,465,236,579 ",sp+133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,134 ,67 ,"4,556 ",경험치+134%,,,,,,,134 ,"100,000,000 ","8,565,236,579 ",sp+134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,135 ,68 ,"4,624 ",경험치+135%,,,,,,,135 ,"100,000,000 ","8,665,236,579 ",sp+135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136 ,68 ,"4,692 ",경험치+136%,,,,,,,136 ,"100,000,000 ","8,765,236,579 ",sp+136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,137 ,69 ,"4,761 ",경험치+137%,,,,,,,137 ,"100,000,000 ","8,865,236,579 ",sp+137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,138 ,69 ,"4,830 ",경험치+138%,,,,,,,138 ,"100,000,000 ","8,965,236,579 ",sp+138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,139 ,70 ,"4,900 ",경험치+139%,,,,,,,139 ,"100,000,000 ","9,065,236,579 ",sp+139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,140 ,70 ,"4,970 ",경험치+140%,,,,,,,140 ,"100,000,000 ","9,165,236,579 ",sp+140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,141 ,71 ,"5,041 ",경험치+141%,,,,,,,141 ,"100,000,000 ","9,265,236,579 ",sp+141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,142 ,71 ,"5,112 ",경험치+142%,,,,,,,142 ,"100,000,000 ","9,365,236,579 ",sp+142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,143 ,72 ,"5,184 ",경험치+143%,,,,,,,143 ,"100,000,000 ","9,465,236,579 ",sp+143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,144 ,72 ,"5,256 ",경험치+144%,,,,,,,144 ,"100,000,000 ","9,565,236,579 ",sp+144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,145 ,73 ,"5,329 ",경험치+145%,,,,,,,145 ,"100,000,000 ","9,665,236,579 ",sp+145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,146 ,73 ,"5,402 ",경험치+146%,,,,,,,146 ,"100,000,000 ","9,765,236,579 ",sp+146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,147 ,74 ,"5,476 ",경험치+147%,,,,,,,147 ,"100,000,000 ","9,865,236,579 ",sp+147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,148 ,74 ,"5,550 ",경험치+148%,,,,,,,148 ,"100,000,000 ","9,965,236,579 ",sp+148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,149 ,75 ,"5,625 ",경험치+149%,,,,,,,149 ,"100,000,000 ","10,065,236,579 ",sp+149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,150 ,75 ,"5,700 ",경험치+150%,,,,,,,150 ,"100,000,000 ","10,165,236,579 ",sp+150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151 ,76 ,"5,776 ",경험치+151%,,,,,,,151 ,"100,000,000 ","10,265,236,579 ",sp+151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152 ,76 ,"5,852 ",경험치+152%,,,,,,,152 ,"100,000,000 ","10,365,236,579 ",sp+152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,153 ,77 ,"5,929 ",경험치+153%,,,,,,,153 ,"100,000,000 ","10,465,236,579 ",sp+153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,154 ,77 ,"6,006 ",경험치+154%,,,,,,,154 ,"100,000,000 ","10,565,236,579 ",sp+154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,155 ,78 ,"6,084 ",경험치+155%,,,,,,,155 ,"100,000,000 ","10,665,236,579 ",sp+155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,156 ,78 ,"6,162 ",경험치+156%,,,,,,,156 ,"100,000,000 ","10,765,236,579 ",sp+156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157 ,79 ,"6,241 ",경험치+157%,,,,,,,157 ,"100,000,000 ","10,865,236,579 ",sp+157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158 ,79 ,"6,320 ",경험치+158%,,,,,,,158 ,"100,000,000 ","10,965,236,579 ",sp+158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,159 ,80 ,"6,400 ",경험치+159%,,,,,,,159 ,"100,000,000 ","11,065,236,579 ",sp+159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160 ,80 ,"6,480 ",경험치+160%,,,,,,,160 ,"100,000,000 ","11,165,236,579 ",sp+160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,161 ,81 ,"6,561 ",경험치+161%,,,,,,,161 ,"100,000,000 ","11,265,236,579 ",sp+161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,162 ,81 ,"6,642 ",경험치+162%,,,,,,,162 ,"100,000,000 ","11,365,236,579 ",sp+162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,163 ,82 ,"6,724 ",경험치+163%,,,,,,,163 ,"100,000,000 ","11,465,236,579 ",sp+163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,164 ,82 ,"6,806 ",경험치+164%,,,,,,,164 ,"100,000,000 ","11,565,236,579 ",sp+164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,165 ,83 ,"6,889 ",경험치+165%,,,,,,,165 ,"100,000,000 ","11,665,236,579 ",sp+165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,166 ,83 ,"6,972 ",경험치+166%,,,,,,,166 ,"100,000,000 ","11,765,236,579 ",sp+166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,167 ,84 ,"7,056 ",경험치+167%,,,,,,,167 ,"100,000,000 ","11,865,236,579 ",sp+167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,168 ,84 ,"7,140 ",경험치+168%,,,,,,,168 ,"100,000,000 ","11,965,236,579 ",sp+168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,169 ,85 ,"7,225 ",경험치+169%,,,,,,,169 ,"100,000,000 ","12,065,236,579 ",sp+169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,170 ,85 ,"7,310 ",경험치+170%,,,,,,,170 ,"100,000,000 ","12,165,236,579 ",sp+170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,171 ,86 ,"7,396 ",경험치+171%,,,,,,,171 ,"100,000,000 ","12,265,236,579 ",sp+171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,172 ,86 ,"7,482 ",경험치+172%,,,,,,,172 ,"100,000,000 ","12,365,236,579 ",sp+172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,173 ,87 ,"7,569 ",경험치+173%,,,,,,,173 ,"100,000,000 ","12,465,236,579 ",sp+173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,174 ,87 ,"7,656 ",경험치+174%,,,,,,,174 ,"100,000,000 ","12,565,236,579 ",sp+174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,175 ,88 ,"7,744 ",경험치+175%,,,,,,,175 ,"100,000,000 ","12,665,236,579 ",sp+175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,176 ,88 ,"7,832 ",경험치+176%,,,,,,,176 ,"100,000,000 ","12,765,236,579 ",sp+176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,177 ,89 ,"7,921 ",경험치+177%,,,,,,,177 ,"100,000,000 ","12,865,236,579 ",sp+177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,178 ,89 ,"8,010 ",경험치+178%,,,,,,,178 ,"100,000,000 ","12,965,236,579 ",sp+178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,179 ,90 ,"8,100 ",경험치+179%,,,,,,,179 ,"100,000,000 ","13,065,236,579 ",sp+179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,180 ,90 ,"8,190 ",경험치+180%,,,,,,,180 ,"100,000,000 ","13,165,236,579 ",sp+180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,181 ,91 ,"8,281 ",경험치+181%,,,,,,,181 ,"100,000,000 ","13,265,236,579 ",sp+181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,182 ,91 ,"8,372 ",경험치+182%,,,,,,,182 ,"100,000,000 ","13,365,236,579 ",sp+182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,183 ,92 ,"8,464 ",경험치+183%,,,,,,,183 ,"100,000,000 ","13,465,236,579 ",sp+183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,184 ,92 ,"8,556 ",경험치+184%,,,,,,,184 ,"100,000,000 ","13,565,236,579 ",sp+184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,185 ,93 ,"8,649 ",경험치+185%,,,,,,,185 ,"100,000,000 ","13,665,236,579 ",sp+185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,186 ,93 ,"8,742 ",경험치+186%,,,,,,,186 ,"100,000,000 ","13,765,236,579 ",sp+186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,187 ,94 ,"8,836 ",경험치+187%,,,,,,,187 ,"100,000,000 ","13,865,236,579 ",sp+187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,188 ,94 ,"8,930 ",경험치+188%,,,,,,,188 ,"100,000,000 ","13,965,236,579 ",sp+188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,189 ,95 ,"9,025 ",경험치+189%,,,,,,,189 ,"100,000,000 ","14,065,236,579 ",sp+189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,190 ,95 ,"9,120 ",경험치+190%,,,,,,,190 ,"100,000,000 ","14,165,236,579 ",sp+190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,191 ,96 ,"9,216 ",경험치+191%,,,,,,,191 ,"100,000,000 ","14,265,236,579 ",sp+191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,192 ,96 ,"9,312 ",경험치+192%,,,,,,,192 ,"100,000,000 ","14,365,236,579 ",sp+192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,193 ,97 ,"9,409 ",경험치+193%,,,,,,,193 ,"100,000,000 ","14,465,236,579 ",sp+193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,194 ,97 ,"9,506 ",경험치+194%,,,,,,,194 ,"100,000,000 ","14,565,236,579 ",sp+194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,195 ,98 ,"9,604 ",경험치+195%,,,,,,,195 ,"100,000,000 ","14,665,236,579 ",sp+195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,196 ,98 ,"9,702 ",경험치+196%,,,,,,,196 ,"100,000,000 ","14,765,236,579 ",sp+196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,197 ,99 ,"9,801 ",경험치+197%,,,,,,,197 ,"100,000,000 ","14,865,236,579 ",sp+197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,198 ,99 ,"9,900 ",경험치+198%,,,,,,,198 ,"100,000,000 ","14,965,236,579 ",sp+198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,199 ,100 ,"10,000 ",경험치+199%,,,,,,,199 ,"100,000,000 ","15,065,236,579 ",sp+199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,200 ,100 ,"10,100 ",경험치+200%,,,,,,,200 ,"100,000,000 ","15,165,236,579 ",sp+200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,201 ,"100,000,000 ","15,265,236,579 ",sp+201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,202 ,"100,000,000 ","15,365,236,579 ",sp+202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,203 ,"100,000,000 ","15,465,236,579 ",sp+203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,204 ,"100,000,000 ","15,565,236,579 ",sp+204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,205 ,"100,000,000 ","15,665,236,579 ",sp+205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,206 ,"100,000,000 ","15,765,236,579 ",sp+206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207 ,"100,000,000 ","15,865,236,579 ",sp+207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,208 ,"100,000,000 ","15,965,236,579 ",sp+208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,209 ,"100,000,000 ","16,065,236,579 ",sp+209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,210 ,"100,000,000 ","16,165,236,579 ",sp+210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,211 ,"100,000,000 ","16,265,236,579 ",sp+211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,212 ,"100,000,000 ","16,365,236,579 ",sp+212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,213 ,"100,000,000 ","16,465,236,579 ",sp+213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,214 ,"100,000,000 ","16,565,236,579 ",sp+214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,215 ,"100,000,000 ","16,665,236,579 ",sp+215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,216 ,"100,000,000 ","16,765,236,579 ",sp+216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,217 ,"100,000,000 ","16,865,236,579 ",sp+217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,218 ,"100,000,000 ","16,965,236,579 ",sp+218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,219 ,"100,000,000 ","17,065,236,579 ",sp+219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,220 ,"100,000,000 ","17,165,236,579 ",sp+220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
