세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,38,올스텟 +38,8,164,-,"1,880",,,38,최대 레벨 38 증가,167,"2,747",-,"5,240",,,38,환생 포인트 획득량 38% 증가,63,"1,134",-,"4,120",,,38,최종 STR 38% 증가,88,"1,547",-,"3,560",,,38,최종 DEX 38% 증가,88,"1,547",-,"3,560",,,38,최종 INT 38% 증가,88,"1,547",-,"3,560",,,38,최종 LUK 38% 증가,88,"1,547",-,"3,560",,,38,최종 공격력 38% 증가,120,"2,121",-,"4,120",,,38,최종 크리티컬 데미지 38% 증가,152,"2,698",-,"4,680",,,38,이세계의 재화 2배 획득 확률 19% 증가,273,"4,781",-,"5,240",,,,,,,,
,39,올스텟 +39,8,172,-,"1,880",,,39,최대 레벨 39 증가,173,"2,914",-,"5,240",,,39,환생 포인트 획득량 39% 증가,65,"1,197",-,"4,120",,,39,최종 STR 39% 증가,91,"1,635",-,"3,560",,,39,최종 DEX 39% 증가,91,"1,635",-,"3,560",,,39,최종 INT 39% 증가,91,"1,635",-,"3,560",,,39,최종 LUK 39% 증가,91,"1,635",-,"3,560",,,39,최종 공격력 39% 증가,124,"2,241",-,"4,120",,,39,최종 크리티컬 데미지 39% 증가,157,"2,850",-,"4,680",,,39,이세계의 재화 2배 획득 확률 19.5% 증가,281,"5,054",-,"5,240",,,,,,,,
,40,올스텟 +40,9,180,💎 280,"2,160",,,40,최대 레벨 40 증가,179,"3,087","💎 1,240","6,480",,,40,환생 포인트 획득량 40% 증가,67,"1,262",💎 920,"5,040",,,40,최종 STR 40% 증가,94,"1,726",💎 760,"4,320",,,40,최종 DEX 40% 증가,94,"1,726",💎 760,"4,320",,,40,최종 INT 40% 증가,94,"1,726",💎 760,"4,320",,,40,최종 LUK 40% 증가,94,"1,726",💎 760,"4,320",,,40,최종 공격력 40% 증가,128,"2,365",💎 920,"5,040",,,40,최종 크리티컬 데미지 40% 증가,161,"3,007","💎 1,080","5,760",,,40,이세계의 재화 2배 획득 확률 20% 증가,289,"5,335","💎 1,240","6,480",,,,,,,,
,41,올스텟 +41,9,189,-,"2,160",,,41,최대 레벨 41 증가,181,"3,266",-,"6,480",,,41,환생 포인트 획득량 41% 증가,69,"1,329",-,"5,040",,,41,최종 STR 41% 증가,96,"1,820",-,"4,320",,,41,최종 DEX 41% 증가,96,"1,820",-,"4,320",,,41,최종 INT 41% 증가,96,"1,820",-,"4,320",,,41,최종 LUK 41% 증가,96,"1,820",-,"4,320",,,41,최종 공격력 41% 증가,131,"2,493",-,"5,040",,,41,최종 크리티컬 데미지 41% 증가,166,"3,168",-,"5,760",,,41,이세계의 재화 2배 획득 확률 20.5% 증가,297,"5,624",-,"6,480",,,,,,,,
,42,올스텟 +42,9,198,-,"2,160",,,42,최대 레벨 42 증가,191,"3,447",-,"6,480",,,42,환생 포인트 획득량 42% 증가,71,"1,398",-,"5,040",,,42,최종 STR 42% 증가,99,"1,916",-,"4,320",,,42,최종 DEX 42% 증가,99,"1,916",-,"4,320",,,42,최종 INT 42% 증가,99,"1,916",-,"4,320",,,42,최종 LUK 42% 증가,99,"1,916",-,"4,320",,,42,최종 공격력 42% 증가,135,"2,624",-,"5,040",,,42,최종 크리티컬 데미지 42% 증가,170,"3,334",-,"5,760",,,42,이세계의 재화 2배 획득 확률 21% 증가,305,"5,921",-,"6,480",,,,,,,,
,43,올스텟 +43,9,207,-,"2,160",,,43,최대 레벨 43 증가,193,"3,638",-,"6,480",,,43,환생 포인트 획득량 43% 증가,73,"1,469",-,"5,040",,,43,최종 STR 43% 증가,102,"2,015",-,"4,320",,,43,최종 DEX 43% 증가,102,"2,015",-,"4,320",,,43,최종 INT 43% 증가,102,"2,015",-,"4,320",,,43,최종 LUK 43% 증가,102,"2,015",-,"4,320",,,43,최종 공격력 43% 증가,138,"2,759",-,"5,040",,,43,최종 크리티컬 데미지 43% 증가,175,"3,504",-,"5,760",,,43,이세계의 재화 2배 획득 확률 21.5% 증가,313,"6,226",-,"6,480",,,,,,,,
,44,올스텟 +44,9,216,-,"2,160",,,44,최대 레벨 44 증가,197,"3,831",-,"6,480",,,44,환생 포인트 획득량 44% 증가,74,"1,542",-,"5,040",,,44,최종 STR 44% 증가,104,"2,117",-,"4,320",,,44,최종 DEX 44% 증가,104,"2,117",-,"4,320",,,44,최종 INT 44% 증가,104,"2,117",-,"4,320",,,44,최종 LUK 44% 증가,104,"2,117",-,"4,320",,,44,최종 공격력 44% 증가,142,"2,897",-,"5,040",,,44,최종 크리티컬 데미지 44% 증가,179,"3,679",-,"5,760",,,44,이세계의 재화 2배 획득 확률 22% 증가,322,"6,539",-,"6,480",,,,,,,,
,45,올스텟 +45,10,225,💎 290,"2,450",,,45,최대 레벨 45 증가,199,"4,028","💎 1,370","7,850",,,45,환생 포인트 획득량 45% 증가,76,"1,616","💎 1,010","6,050",,,45,최종 STR 45% 증가,107,"2,221",💎 830,"5,150",,,45,최종 DEX 45% 증가,107,"2,221",💎 830,"5,150",,,45,최종 INT 45% 증가,107,"2,221",💎 830,"5,150",,,45,최종 LUK 45% 증가,107,"2,221",💎 830,"5,150",,,45,최종 공격력 45% 증가,145,"3,039","💎 1,010","6,050",,,45,최종 크리티컬 데미지 45% 증가,184,"3,858","💎 1,190","6,950",,,45,이세계의 재화 2배 획득 확률 22.5% 증가,330,"6,861","💎 1,370","7,850",,,,,,,,
,46,올스텟 +46,10,235,-,"2,450",,,46,최대 레벨 46 증가,211,"4,227",-,"7,850",,,46,환생 포인트 획득량 46% 증가,78,"1,692",-,"6,050",,,46,최종 STR 46% 증가,110,"2,328",-,"5,150",,,46,최종 DEX 46% 증가,110,"2,328",-,"5,150",,,46,최종 INT 46% 증가,110,"2,328",-,"5,150",,,46,최종 LUK 46% 증가,110,"2,328",-,"5,150",,,46,최종 공격력 46% 증가,149,"3,184",-,"6,050",,,46,최종 크리티컬 데미지 46% 증가,188,"4,042",-,"6,950",,,46,이세계의 재화 2배 획득 확률 23% 증가,338,"7,191",-,"7,850",,,,,,,,
,47,올스텟 +47,10,245,-,"2,450",,,47,최대 레벨 47 증가,223,"4,438",-,"7,850",,,47,환생 포인트 획득량 47% 증가,80,"1,770",-,"6,050",,,47,최종 STR 47% 증가,112,"2,438",-,"5,150",,,47,최종 DEX 47% 증가,112,"2,438",-,"5,150",,,47,최종 INT 47% 증가,112,"2,438",-,"5,150",,,47,최종 LUK 47% 증가,112,"2,438",-,"5,150",,,47,최종 공격력 47% 증가,153,"3,333",-,"6,050",,,47,최종 크리티컬 데미지 47% 증가,193,"4,230",-,"6,950",,,47,이세계의 재화 2배 획득 확률 23.5% 증가,346,"7,529",-,"7,850",,,,,,,,
,48,올스텟 +48,10,255,-,"2,450",,,48,최대 레벨 48 증가,227,"4,661",-,"7,850",,,48,환생 포인트 획득량 48% 증가,82,"1,850",-,"6,050",,,48,최종 STR 48% 증가,115,"2,550",-,"5,150",,,48,최종 DEX 48% 증가,115,"2,550",-,"5,150",,,48,최종 INT 48% 증가,115,"2,550",-,"5,150",,,48,최종 LUK 48% 증가,115,"2,550",-,"5,150",,,48,최종 공격력 48% 증가,156,"3,486",-,"6,050",,,48,최종 크리티컬 데미지 48% 증가,197,"4,423",-,"6,950",,,48,이세계의 재화 2배 획득 확률 24% 증가,355,"7,875",-,"7,850",,,,,,,,
,49,올스텟 +49,10,265,-,"2,450",,,49,최대 레벨 49 증가,229,"4,888",-,"7,850",,,49,환생 포인트 획득량 49% 증가,84,"1,932",-,"6,050",,,49,최종 STR 49% 증가,118,"2,665",-,"5,150",,,49,최종 DEX 49% 증가,118,"2,665",-,"5,150",,,49,최종 INT 49% 증가,118,"2,665",-,"5,150",,,49,최종 LUK 49% 증가,118,"2,665",-,"5,150",,,49,최종 공격력 49% 증가,160,"3,642",-,"6,050",,,49,최종 크리티컬 데미지 49% 증가,202,"4,620",-,"6,950",,,49,이세계의 재화 2배 획득 확률 24.5% 증가,363,"8,230",-,"7,850",,,,,,,,
,50,올스텟 +50,11,275,💎 300,"2,750",,,50,최대 레벨 50 증가,-,"5,117",-,"7,850",,,50,환생 포인트 획득량 50% 증가,86,"2,016","💎 1,100","7,150",,,50,최종 STR 50% 증가,121,"2,783",💎 900,"6,050",,,50,최종 DEX 50% 증가,121,"2,783",💎 900,"6,050",,,50,최종 INT 50% 증가,121,"2,783",💎 900,"6,050",,,50,최종 LUK 50% 증가,121,"2,783",💎 900,"6,050",,,50,최종 공격력 50% 증가,164,"3,802","💎 1,100","7,150",,,50,최종 크리티컬 데미지 50% 증가,207,"4,822","💎 1,300","8,250",,,50,이세계의 재화 2배 획득 확률 25% 증가,371,"8,593","💎 1,500","9,350",,,,,,,,
,51,올스텟 +51,11,286,-,"2,750",,,,,,,,,,,51,환생 포인트 획득량 51% 증가,87,"2,102",-,"7,150",,,51,최종 STR 51% 증가,123,"2,904",-,"6,050",,,51,최종 DEX 51% 증가,123,"2,904",-,"6,050",,,51,최종 INT 51% 증가,123,"2,904",-,"6,050",,,51,최종 LUK 51% 증가,123,"2,904",-,"6,050",,,51,최종 공격력 51% 증가,167,"3,966",-,"7,150",,,51,최종 크리티컬 데미지 51% 증가,211,"5,029",-,"8,250",,,51,이세계의 재화 2배 획득 확률 25.5% 증가,380,"8,964",-,"9,350",,,,,,,,
,52,올스텟 +52,11,297,-,"2,750",,,,,,,,,,,52,환생 포인트 획득량 52% 증가,89,"2,189",-,"7,150",,,52,최종 STR 52% 증가,126,"3,027",-,"6,050",,,52,최종 DEX 52% 증가,126,"3,027",-,"6,050",,,52,최종 INT 52% 증가,126,"3,027",-,"6,050",,,52,최종 LUK 52% 증가,126,"3,027",-,"6,050",,,52,최종 공격력 52% 증가,171,"4,133",-,"7,150",,,52,최종 크리티컬 데미지 52% 증가,216,"5,240",-,"8,250",,,52,이세계의 재화 2배 획득 확률 26% 증가,388,"9,344",-,"9,350",,,,,,,,
,53,올스텟 +53,11,308,-,"2,750",,,,,,,,,,,53,환생 포인트 획득량 53% 증가,91,"2,278",-,"7,150",,,53,최종 STR 53% 증가,129,"3,153",-,"6,050",,,53,최종 DEX 53% 증가,129,"3,153",-,"6,050",,,53,최종 INT 53% 증가,129,"3,153",-,"6,050",,,53,최종 LUK 53% 증가,129,"3,153",-,"6,050",,,53,최종 공격력 53% 증가,174,"4,304",-,"7,150",,,53,최종 크리티컬 데미지 53% 증가,220,"5,456",-,"8,250",,,53,이세계의 재화 2배 획득 확률 26.5% 증가,396,"9,732",-,"9,350",,,,,,,,
,54,올스텟 +54,11,319,-,"2,750",,,,,,,,,,,54,환생 포인트 획득량 54% 증가,93,"2,369",-,"7,150",,,54,최종 STR 54% 증가,131,"3,282",-,"6,050",,,54,최종 DEX 54% 증가,131,"3,282",-,"6,050",,,54,최종 INT 54% 증가,131,"3,282",-,"6,050",,,54,최종 LUK 54% 증가,131,"3,282",-,"6,050",,,54,최종 공격력 54% 증가,178,"4,478",-,"7,150",,,54,최종 크리티컬 데미지 54% 증가,225,"5,676",-,"8,250",,,54,이세계의 재화 2배 획득 확률 27% 증가,405,"10,128",-,"9,350",,,,,,,,
,55,올스텟 +55,12,330,💎 310,"3,060",,,,,,,,,,,55,환생 포인트 획득량 55% 증가,95,"2,462","💎 1,190","8,340",,,55,최종 STR 55% 증가,134,"3,413",💎 970,"7,020",,,55,최종 DEX 55% 증가,134,"3,413",💎 970,"7,020",,,55,최종 INT 55% 증가,134,"3,413",💎 970,"7,020",,,55,최종 LUK 55% 증가,134,"3,413",💎 970,"7,020",,,55,최종 공격력 55% 증가,182,"4,656","💎 1,190","8,340",,,55,최종 크리티컬 데미지 55% 증가,229,"5,901","💎 1,410","9,660",,,55,이세계의 재화 2배 획득 확률 27.5% 증가,413,"10,533","💎 1,630","10,980",,,,,,,,
,56,올스텟 +56,12,342,-,"3,060",,,,,,,,,,,56,환생 포인트 획득량 56% 증가,97,"2,557",-,"8,340",,,56,최종 STR 56% 증가,137,"3,547",-,"7,020",,,56,최종 DEX 56% 증가,137,"3,547",-,"7,020",,,56,최종 INT 56% 증가,137,"3,547",-,"7,020",,,56,최종 LUK 56% 증가,137,"3,547",-,"7,020",,,56,최종 공격력 56% 증가,186,"4,838",-,"8,340",,,56,최종 크리티컬 데미지 56% 증가,234,"6,130",-,"9,660",,,56,이세계의 재화 2배 획득 확률 28% 증가,422,"10,946",-,"10,980",,,,,,,,
,57,올스텟 +57,12,354,-,"3,060",,,,,,,,,,,57,환생 포인트 획득량 57% 증가,99,"2,654",-,"8,340",,,57,최종 STR 57% 증가,140,"3,684",-,"7,020",,,57,최종 DEX 57% 증가,140,"3,684",-,"7,020",,,57,최종 INT 57% 증가,140,"3,684",-,"7,020",,,57,최종 LUK 57% 증가,140,"3,684",-,"7,020",,,57,최종 공격력 57% 증가,189,"5,024",-,"8,340",,,57,최종 크리티컬 데미지 57% 증가,239,"6,364",-,"9,660",,,57,이세계의 재화 2배 획득 확률 28.5% 증가,430,"11,368",-,"10,980",,,,,,,,
,58,올스텟 +58,12,366,-,"3,060",,,,,,,,,,,58,환생 포인트 획득량 58% 증가,100,"2,753",-,"8,340",,,58,최종 STR 58% 증가,142,"3,824",-,"7,020",,,58,최종 DEX 58% 증가,142,"3,824",-,"7,020",,,58,최종 INT 58% 증가,142,"3,824",-,"7,020",,,58,최종 LUK 58% 증가,142,"3,824",-,"7,020",,,58,최종 공격력 58% 증가,193,"5,213",-,"8,340",,,58,최종 크리티컬 데미지 58% 증가,243,"6,603",-,"9,660",,,58,이세계의 재화 2배 획득 확률 29% 증가,439,"11,798",-,"10,980",,,,,,,,
,59,올스텟 +59,12,378,-,"3,060",,,,,,,,,,,59,환생 포인트 획득량 59% 증가,102,"2,853",-,"8,340",,,59,최종 STR 59% 증가,145,"3,966",-,"7,020",,,59,최종 DEX 59% 증가,145,"3,966",-,"7,020",,,59,최종 INT 59% 증가,145,"3,966",-,"7,020",,,59,최종 LUK 59% 증가,145,"3,966",-,"7,020",,,59,최종 공격력 59% 증가,197,"5,406",-,"8,340",,,59,최종 크리티컬 데미지 59% 증가,248,"6,846",-,"9,660",,,59,이세계의 재화 2배 획득 확률 29.5% 증가,447,"12,237",-,"10,980",,,,,,,,
,60,올스텟 +60,13,390,💎 320,"3,380",,,,,,,,,,,60,환생 포인트 획득량 60% 증가,104,"2,955","💎 1,280","9,620",,,60,최종 STR 60% 증가,148,"4,111","💎 1,040","8,060",,,60,최종 DEX 60% 증가,148,"4,111","💎 1,040","8,060",,,60,최종 INT 60% 증가,148,"4,111","💎 1,040","8,060",,,60,최종 LUK 60% 증가,148,"4,111","💎 1,040","8,060",,,60,최종 공격력 60% 증가,200,"5,603","💎 1,280","9,620",,,60,최종 크리티컬 데미지 60% 증가,253,"7,094","💎 1,520","11,180",,,60,이세계의 재화 2배 획득 확률 30% 증가,456,"12,684","💎 1,760","12,740",,,,,,,,
,61,올스텟 +61,13,403,-,"3,380",,,,,,,,,,,61,환생 포인트 획득량 61% 증가,106,"3,059",-,"9,620",,,61,최종 STR 61% 증가,151,"4,259",-,"8,060",,,61,최종 DEX 61% 증가,151,"4,259",-,"8,060",,,61,최종 INT 61% 증가,151,"4,259",-,"8,060",,,61,최종 LUK 61% 증가,151,"4,259",-,"8,060",,,61,최종 공격력 61% 증가,204,"5,803",-,"9,620",,,61,최종 크리티컬 데미지 61% 증가,257,"7,347",-,"11,180",,,61,이세계의 재화 2배 획득 확률 30.5% 증가,464,"13,140",-,"12,740",,,,,,,,
,62,올스텟 +62,13,416,-,"3,380",,,,,,,,,,,62,환생 포인트 획득량 62% 증가,108,"3,165",-,"9,620",,,62,최종 STR 62% 증가,154,"4,410",-,"8,060",,,62,최종 DEX 62% 증가,154,"4,410",-,"8,060",,,62,최종 INT 62% 증가,154,"4,410",-,"8,060",,,62,최종 LUK 62% 증가,154,"4,410",-,"8,060",,,62,최종 공격력 62% 증가,208,"6,007",-,"9,620",,,62,최종 크리티컬 데미지 62% 증가,262,"7,604",-,"11,180",,,62,이세계의 재화 2배 획득 확률 31% 증가,473,"13,604",-,"12,740",,,,,,,,
,63,올스텟 +63,13,429,-,"3,380",,,,,,,,,,,63,환생 포인트 획득량 63% 증가,110,"3,273",-,"9,620",,,63,최종 STR 63% 증가,156,"4,564",-,"8,060",,,63,최종 DEX 63% 증가,156,"4,564",-,"8,060",,,63,최종 INT 63% 증가,156,"4,564",-,"8,060",,,63,최종 LUK 63% 증가,156,"4,564",-,"8,060",,,63,최종 공격력 63% 증가,212,"6,215",-,"9,620",,,63,최종 크리티컬 데미지 63% 증가,267,"7,866",-,"11,180",,,63,이세계의 재화 2배 획득 확률 31.5% 증가,482,"14,077",-,"12,740",,,,,,,,
,64,올스텟 +64,13,442,-,"3,380",,,,,,,,,,,64,환생 포인트 획득량 64% 증가,112,"3,383",-,"9,620",,,64,최종 STR 64% 증가,159,"4,720",-,"8,060",,,64,최종 DEX 64% 증가,159,"4,720",-,"8,060",,,64,최종 INT 64% 증가,159,"4,720",-,"8,060",,,64,최종 LUK 64% 증가,159,"4,720",-,"8,060",,,64,최종 공격력 64% 증가,215,"6,427",-,"9,620",,,64,최종 크리티컬 데미지 64% 증가,271,"8,133",-,"11,180",,,64,이세계의 재화 2배 획득 확률 32% 증가,490,"14,559",-,"12,740",,,,,,,,
,65,올스텟 +65,14,455,💎 330,"3,710",,,,,,,,,,,65,환생 포인트 획득량 65% 증가,114,"3,495","💎 1,370","10,990",,,65,최종 STR 65% 증가,162,"4,879","💎 1,110","9,170",,,65,최종 DEX 65% 증가,162,"4,879","💎 1,110","9,170",,,65,최종 INT 65% 증가,162,"4,879","💎 1,110","9,170",,,65,최종 LUK 65% 증가,162,"4,879","💎 1,110","9,170",,,65,최종 공격력 65% 증가,219,"6,642","💎 1,370","10,990",,,65,최종 크리티컬 데미지 65% 증가,276,"8,404","💎 1,630","12,810",,,65,이세계의 재화 2배 획득 확률 32.5% 증가,499,"15,049","💎 1,890","14,630",,,,,,,,
,66,올스텟 +66,14,469,-,"3,710",,,,,,,,,,,66,환생 포인트 획득량 66% 증가,116,"3,609",-,"10,990",,,66,최종 STR 66% 증가,165,"5,041",-,"9,170",,,66,최종 DEX 66% 증가,165,"5,041",-,"9,170",,,66,최종 INT 66% 증가,165,"5,041",-,"9,170",,,66,최종 LUK 66% 증가,165,"5,041",-,"9,170",,,66,최종 공격력 66% 증가,223,"6,861",-,"10,990",,,66,최종 크리티컬 데미지 66% 증가,281,"8,680",-,"12,810",,,66,이세계의 재화 2배 획득 확률 33% 증가,507,"15,548",-,"14,630",,,,,,,,
,67,올스텟 +67,14,483,-,"3,710",,,,,,,,,,,67,환생 포인트 획득량 67% 증가,118,"3,725",-,"10,990",,,67,최종 STR 67% 증가,168,"5,206",-,"9,170",,,67,최종 DEX 67% 증가,168,"5,206",-,"9,170",,,67,최종 INT 67% 증가,168,"5,206",-,"9,170",,,67,최종 LUK 67% 증가,168,"5,206",-,"9,170",,,67,최종 공격력 67% 증가,227,"7,084",-,"10,990",,,67,최종 크리티컬 데미지 67% 증가,286,"8,961",-,"12,810",,,67,이세계의 재화 2배 획득 확률 33.5% 증가,516,"16,055",-,"14,630",,,,,,,,
,68,올스텟 +68,14,497,-,"3,710",,,,,,,,,,,68,환생 포인트 획득량 68% 증가,119,"3,843",-,"10,990",,,68,최종 STR 68% 증가,170,"5,374",-,"9,170",,,68,최종 DEX 68% 증가,170,"5,374",-,"9,170",,,68,최종 INT 68% 증가,170,"5,374",-,"9,170",,,68,최종 LUK 68% 증가,170,"5,374",-,"9,170",,,68,최종 공격력 68% 증가,230,"7,311",-,"10,990",,,68,최종 크리티컬 데미지 68% 증가,290,"9,247",-,"12,810",,,68,이세계의 재화 2배 획득 확률 34% 증가,525,"16,571",-,"14,630",,,,,,,,
,69,올스텟 +69,14,511,-,"3,710",,,,,,,,,,,69,환생 포인트 획득량 69% 증가,121,"3,962",-,"10,990",,,69,최종 STR 69% 증가,173,"5,544",-,"9,170",,,69,최종 DEX 69% 증가,173,"5,544",-,"9,170",,,69,최종 INT 69% 증가,173,"5,544",-,"9,170",,,69,최종 LUK 69% 증가,173,"5,544",-,"9,170",,,69,최종 공격력 69% 증가,234,"7,541",-,"10,990",,,69,최종 크리티컬 데미지 69% 증가,295,"9,537",-,"12,810",,,69,이세계의 재화 2배 획득 확률 34.5% 증가,533,"17,096",-,"14,630",,,,,,,,
,70,올스텟 +70,15,525,💎 340,"4,050",,,,,,,,,,,70,환생 포인트 획득량 70% 증가,123,"4,083","💎 1,460","12,450",,,70,최종 STR 70% 증가,176,"5,717","💎 1,180","10,350",,,70,최종 DEX 70% 증가,176,"5,717","💎 1,180","10,350",,,70,최종 INT 70% 증가,176,"5,717","💎 1,180","10,350",,,70,최종 LUK 70% 증가,176,"5,717","💎 1,180","10,350",,,70,최종 공격력 70% 증가,238,"7,775","💎 1,460","12,450",,,70,최종 크리티컬 데미지 70% 증가,300,"9,832","💎 1,740","14,550",,,70,이세계의 재화 2배 획득 확률 35% 증가,542,"17,629","💎 2,000","16,630",,,,,,,,
,71,올스텟 +71,15,540,-,"4,050",,,,,,,,,,,71,환생 포인트 획득량 71% 증가,125,"4,206",-,"12,450",,,71,최종 STR 71% 증가,179,"5,893",-,"10,350",,,71,최종 DEX 71% 증가,179,"5,893",-,"10,350",,,71,최종 INT 71% 증가,179,"5,893",-,"10,350",,,71,최종 LUK 71% 증가,179,"5,893",-,"10,350",,,71,최종 공격력 71% 증가,242,"8,013",-,"12,450",,,71,최종 크리티컬 데미지 71% 증가,304,"10,132",-,"14,550",,,71,이세계의 재화 2배 획득 확률 35.5% 증가,551,"18,171",-,"16,630",,,,,,,,
,72,올스텟 +72,15,555,-,"4,050",,,,,,,,,,,72,환생 포인트 획득량 72% 증가,127,"4,331",-,"12,450",,,72,최종 STR 72% 증가,182,"6,072",-,"10,350",,,72,최종 DEX 72% 증가,182,"6,072",-,"10,350",,,72,최종 INT 72% 증가,182,"6,072",-,"10,350",,,72,최종 LUK 72% 증가,182,"6,072",-,"10,350",,,72,최종 공격력 72% 증가,245,"8,255",-,"12,450",,,72,최종 크리티컬 데미지 72% 증가,309,"10,436",-,"14,550",,,72,이세계의 재화 2배 획득 확률 36% 증가,560,"18,722",-,"16,630",,,,,,,,
,73,올스텟 +73,15,570,-,"4,050",,,,,,,,,,,73,환생 포인트 획득량 73% 증가,129,"4,458",-,"12,450",,,73,최종 STR 73% 증가,185,"6,254",-,"10,350",,,73,최종 DEX 73% 증가,185,"6,254",-,"10,350",,,73,최종 INT 73% 증가,185,"6,254",-,"10,350",,,73,최종 LUK 73% 증가,185,"6,254",-,"10,350",,,73,최종 공격력 73% 증가,249,"8,500",-,"12,450",,,73,최종 크리티컬 데미지 73% 증가,314,"10,745",-,"14,550",,,73,이세계의 재화 2배 획득 확률 36.5% 증가,568,"19,282",-,"16,630",,,,,,,,
,74,올스텟 +74,15,585,-,"4,050",,,,,,,,,,,74,환생 포인트 획득량 74% 증가,131,"4,587",-,"12,450",,,74,최종 STR 74% 증가,187,"6,439",-,"10,350",,,74,최종 DEX 74% 증가,187,"6,439",-,"10,350",,,74,최종 INT 74% 증가,187,"6,439",-,"10,350",,,74,최종 LUK 74% 증가,187,"6,439",-,"10,350",,,74,최종 공격력 74% 증가,253,"8,749",-,"12,450",,,74,최종 크리티컬 데미지 74% 증가,319,"11,059",-,"14,550",,,74,이세계의 재화 2배 획득 확률 37% 증가,577,"19,850",-,"16,630",,,,,,,,
,75,올스텟 +75,16,600,💎 350,"4,400",,,,,,,,,,,75,환생 포인트 획득량 75% 증가,133,"4,718","💎 1,550","14,000",,,75,최종 STR 75% 증가,190,"6,626","💎 1,250","11,600",,,75,최종 DEX 75% 증가,190,"6,626","💎 1,250","11,600",,,75,최종 INT 75% 증가,190,"6,626","💎 1,250","11,600",,,75,최종 LUK 75% 증가,190,"6,626","💎 1,250","11,600",,,75,최종 공격력 75% 증가,257,"9,002","💎 1,550","14,000",,,75,최종 크리티컬 데미지 75% 증가,324,"11,378","💎 1,850","16,400",,,75,이세계의 재화 2배 획득 확률 37.5% 증가,586,"20,427","💎 2,000","18,630",,,,,,,,
,76,올스텟 +76,16,616,-,"4,400",,,,,,,,,,,76,환생 포인트 획득량 76% 증가,135,"4,851",-,"14,000",,,76,최종 STR 76% 증가,193,"6,816",-,"11,600",,,76,최종 DEX 76% 증가,193,"6,816",-,"11,600",,,76,최종 INT 76% 증가,193,"6,816",-,"11,600",,,76,최종 LUK 76% 증가,193,"6,816",-,"11,600",,,76,최종 공격력 76% 증가,261,"9,259",-,"14,000",,,76,최종 크리티컬 데미지 76% 증가,328,"11,702",-,"16,400",,,76,이세계의 재화 2배 획득 확률 38% 증가,595,"21,013",-,"18,630",,,,,,,,
,77,올스텟 +77,16,632,-,"4,400",,,,,,,,,,,77,환생 포인트 획득량 77% 증가,137,"4,986",-,"14,000",,,77,최종 STR 77% 증가,196,"7,009",-,"11,600",,,77,최종 DEX 77% 증가,196,"7,009",-,"11,600",,,77,최종 INT 77% 증가,196,"7,009",-,"11,600",,,77,최종 LUK 77% 증가,196,"7,009",-,"11,600",,,77,최종 공격력 77% 증가,265,"9,520",-,"14,000",,,77,최종 크리티컬 데미지 77% 증가,333,"12,030",-,"16,400",,,77,이세계의 재화 2배 획득 확률 38.5% 증가,604,"21,608",-,"18,630",,,,,,,,
,78,올스텟 +78,16,648,-,"4,400",,,,,,,,,,,78,환생 포인트 획득량 78% 증가,139,"5,123",-,"14,000",,,78,최종 STR 78% 증가,199,"7,205",-,"11,600",,,78,최종 DEX 78% 증가,199,"7,205",-,"11,600",,,78,최종 INT 78% 증가,199,"7,205",-,"11,600",,,78,최종 LUK 78% 증가,199,"7,205",-,"11,600",,,78,최종 공격력 78% 증가,268,"9,785",-,"14,000",,,78,최종 크리티컬 데미지 78% 증가,338,"12,363",-,"16,400",,,78,이세계의 재화 2배 획득 확률 39% 증가,612,"22,212",-,"18,630",,,,,,,,
,79,올스텟 +79,16,664,-,"4,400",,,,,,,,,,,79,환생 포인트 획득량 79% 증가,141,"5,262",-,"14,000",,,79,최종 STR 79% 증가,202,"7,404",-,"11,600",,,79,최종 DEX 79% 증가,202,"7,404",-,"11,600",,,79,최종 INT 79% 증가,202,"7,404",-,"11,600",,,79,최종 LUK 79% 증가,202,"7,404",-,"11,600",,,79,최종 공격력 79% 증가,272,"10,053",-,"14,000",,,79,최종 크리티컬 데미지 79% 증가,343,"12,701",-,"16,400",,,79,이세계의 재화 2배 획득 확률 39.5% 증가,621,"22,824",-,"18,630",,,,,,,,
